timestamp, arbitration id, extended, remote, error, dlc, data
1521401112.66084,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.661903,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.663039,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.664084,0xc,1,0,0,7,EwISARIiXA==
1521401112.668301,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.669358,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.670493,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.671531,0xc,1,0,0,7,EwISARIiXA==
1521401112.675759,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.676816,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.677961,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.678998,0xc,1,0,0,7,EwISARIiXA==
1521401112.683216,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.684286,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.685422,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.686469,0xc,1,0,0,7,EwISARIiXA==
1521401112.691488,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.692538,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.693673,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.694711,0xc,1,0,0,7,EwISARIiXA==
1521401112.699083,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.700144,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.701278,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.702322,0xc,1,0,0,7,EwISARIiXA==
1521401112.705611,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.706672,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.707804,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.708853,0xc,1,0,0,7,EwISARIiXA==
1521401112.713052,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.714111,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.715253,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.716289,0xc,1,0,0,7,EwISARIiXA==
1521401112.72051,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.721574,0xd,1,0,0,7,AAAFAjIWTw==
1521401112.722709,0x11,1,0,0,8,AJVgZAAP71c=
1521401112.723766,0xc,1,0,0,7,EwISARIiXA==
1521401112.728033,0x10,1,0,0,7,jzqOoxMB4w==
1521401112.72908,0xd,1,0,0,7,AAAFAjIWTw==
